Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2010-01-04,6048.2998046875,6048.2998046875,5974.43017578125,5975.52001953125,104344400
2010-01-05,6031.85986328125,6058.02001953125,6015.669921875,6043.93994140625,117572100
2010-01-06,6034.330078125,6047.56982421875,5997.08984375,6032.39013671875,108742400
2010-01-07,6019.35986328125,6037.56982421875,5961.25,6016.7998046875,133704300
2010-01-08,6037.60986328125,6053.0400390625,5972.240234375,6028.6201171875,126099000
2010-01-11,6040.5,6094.259765625,6031.14013671875,6057.93017578125,103675800
2010-01-12,5943.0,6055.56005859375,5924.72021484375,6039.39013671875,129269700
2010-01-13,5963.14013671875,5974.43994140625,5925.240234375,5937.169921875,114728400
2010-01-14,5988.8798828125,6009.91015625,5951.68994140625,5999.080078125,115453700
2010-01-15,5875.97021484375,6025.35986328125,5866.83984375,5996.56005859375,156035200
2010-01-18,5918.5498046875,5922.93017578125,5877.64990234375,5897.6298828125,79532100
2010-01-19,5976.47998046875,5988.7998046875,5849.669921875,5905.330078125,113604900
2010-01-20,5851.52978515625,5972.77001953125,5832.08984375,5963.7099609375,118371200
2010-01-21,5746.97021484375,5908.85009765625,5742.4501953125,5878.240234375,138594400
2010-01-22,5695.31982421875,5740.8701171875,5639.490234375,5735.68017578125,177787000
2010-01-25,5631.3701171875,5693.85986328125,5624.580078125,5662.85009765625,122382000
2010-01-26,5668.93017578125,5675.9599609375,5574.4599609375,5593.93994140625,140930900
2010-01-27,5643.2001953125,5673.72998046875,5589.009765625,5643.52001953125,143566600
2010-01-28,5540.330078125,5718.81005859375,5540.330078125,5687.10009765625,185119100
2010-01-29,5608.7900390625,5657.8701171875,5556.18994140625,5566.02978515625,206927000
2010-02-01,5654.47998046875,5674.2099609375,5567.72021484375,5587.5,130680700
2010-02-02,5709.66015625,5723.2001953125,5624.60986328125,5664.25,137793900
2010-02-03,5672.08984375,5733.7099609375,5656.89990234375,5715.16015625,133970300
2010-02-04,5533.240234375,5696.93994140625,5522.56982421875,5671.169921875,170297100
2010-02-05,5434.33984375,5527.0,5433.02001953125,5515.68994140625,234113800
2010-02-08,5484.85009765625,5505.06005859375,5434.39990234375,5476.47021484375,137808300
2010-02-09,5498.259765625,5537.97021484375,5461.509765625,5485.31005859375,130402000
2010-02-10,5536.3701171875,5592.27001953125,5505.3701171875,5533.7099609375,132047100
2010-02-11,5503.93017578125,5580.77001953125,5454.06982421875,5562.830078125,122397400
2010-02-12,5500.39013671875,5565.43017578125,5460.0498046875,5550.4501953125,114810000
2010-02-15,5511.10009765625,5547.14013671875,5502.490234375,5525.740234375,61554900
2010-02-16,5592.1201171875,5592.1201171875,5498.06982421875,5573.06982421875,106068700
2010-02-17,5648.33984375,5682.35986328125,5634.97998046875,5640.169921875,122735600
2010-02-18,5680.41015625,5691.60009765625,5626.080078125,5645.6298828125,125325700
2010-02-19,5722.0498046875,5729.580078125,5626.56982421875,5627.259765625,121594600
2010-02-22,5688.43994140625,5743.89013671875,5683.60986328125,5741.0,94749200
2010-02-23,5604.06982421875,5732.14013671875,5584.47021484375,5715.6298828125,138143800
2010-02-24,5615.509765625,5639.7099609375,5572.25,5622.31005859375,130761600
2010-02-25,5532.330078125,5655.75,5518.27001953125,5562.7001953125,150089500
2010-02-26,5598.4599609375,5605.10009765625,5530.18994140625,5588.990234375,114404300
2010-03-01,5713.509765625,5717.72021484375,5641.18017578125,5652.85009765625,98501000
2010-03-02,5776.56005859375,5780.14013671875,5709.740234375,5728.27978515625,116696700
2010-03-03,5817.8798828125,5828.7998046875,5750.2998046875,5759.22021484375,104617500
2010-03-04,5795.31982421875,5823.10986328125,5767.64990234375,5773.85986328125,103410600
2010-03-05,5877.35986328125,5880.25,5808.35986328125,5816.18994140625,111636900
2010-03-08,5875.91015625,5894.18994140625,5865.43994140625,5891.740234375,87016800
2010-03-09,5885.89013671875,5900.16015625,5838.169921875,5872.56982421875,97415100
2010-03-10,5936.72021484375,5951.93017578125,5874.75,5882.759765625,98407000
2010-03-11,5928.6298828125,5954.5498046875,5906.83984375,5913.169921875,92700100
