Date,Close,High,Low,Open,Volume
2010-01-04,28.42392349243164,28.51679258253023,27.64118744599704,27.7207895232244,35460500
2010-01-05,28.974498748779297,29.08063234187128,28.37749570612163,28.384130479053635,41208300
2010-01-06,29.133689880371094,29.24645821545706,28.729057407385746,28.82192395956021,27729000
2010-01-07,29.71080017089844,29.929699588634087,28.928064012111644,29.04746461466721,44864700
2010-01-08,29.63783264160156,29.65109965628165,29.239832322896167,29.432197709696663,33110100
2010-01-11,29.53833770751953,29.976139165282746,29.392405575215037,29.92970586903701,31878700
2010-01-12,28.84846305847168,29.2862644031907,28.483626495852324,29.1801308205444,47109600
2010-01-13,29.352584838867188,29.53831789929861,28.4371814845264,28.88824965736545,39622000
2010-01-14,29.644466400146484,29.7108014769402,29.25309830354914,29.31943338034285,37938300
2010-01-15,28.974498748779297,29.472000440852533,28.748964547155783,29.385766105707656,69738500
2010-01-19,28.70916175842285,29.02093027626941,28.45709607164304,28.78876384622897,41731500
2010-01-20,28.788759231567383,28.97449234582785,28.331056156534235,28.530056283302432,39934400
2010-01-21,26.891624450683597,28.622930682666105,26.74568981644005,28.549963365544333,137547700
2010-01-22,25.976207733154297,27.329412221510932,25.750673651761527,26.96457834789933,106634900
2010-01-25,26.009389877319336,26.460458315650847,25.763956398658696,26.37422397379859,56572200
2010-01-26,25.498611450195312,26.427282007255712,25.392477889139013,25.87008017910421,52975300
2010-01-27,26.088985443115234,26.195119017885094,25.253181327681524,25.438914450922784,66314300
2010-01-28,26.1884822845459,26.55995103362893,25.684348474755343,26.321149875677257,65047400
2010-01-29,25.830284118652344,26.43391933784988,25.737417551148752,26.30125425880142,53649000
2010-02-01,26.28798484802246,26.486984978875626,25.83691653519585,25.93641533541045,37408200
2010-02-02,26.898250579833984,26.98448489232723,26.334416489092757,26.400749018442145,45968500
2010-02-03,26.72579765319824,27.263097984760613,26.64619554225008,26.918165625685408,37373300
2010-02-04,25.43891143798828,26.48034780782942,25.43891143798828,26.394116028208543,57211800
2010-02-05,25.405759811401367,25.790495777549637,24.563323069024293,25.631294077316685,75224100
2010-02-08,25.00774383544922,25.399111803093884,24.755675687536485,25.399111803093884,58321000
2010-02-09,25.465456008911133,25.67109097790707,25.100621895887503,25.332788368604877,45173500
2010-02-10,25.783859252929688,26.20176147355861,25.55169275837196,25.63129233787389,39331800
2010-02-11,25.88335418701172,26.11552062382137,25.445552813010394,25.763953582245502,33830600
2010-02-12,25.83692169189453,25.9894885736797,25.445553593254505,25.65118600632717,38051100
2010-02-16,26.57984733581543,26.62628060799291,25.70424487414926,26.08898059267532,46425300
2010-02-17,26.55995750427246,26.83192499365883,26.37422181926936,26.705889612688072,34644100
2010-02-18,26.805391311645508,26.87172385902252,26.38085693541389,26.493622772039707,31809500
2010-02-19,26.55332946777344,26.99776573952582,26.46709764151372,26.606397542787192,40290200
2010-02-22,27.09725379943848,27.3957552765202,26.699253516945568,26.79875485278084,43898900
2010-02-23,26.45382308959961,27.36259210680999,26.37422099974698,27.130425670800747,52233100
2010-02-24,27.09725379943848,27.176855880276328,26.53341964416951,26.566585912639905,44645000
2010-02-25,26.95796012878418,26.99112640485187,26.334425535267744,26.63955932376996,46718100
2010-02-26,27.84018898010254,28.065723128923132,26.931417613441518,26.99111790373002,67699100
2010-03-01,27.747333526611328,27.979500009282464,27.46873121698109,27.879998642180617,34606800
2010-03-02,27.60801887512207,28.125422212226365,27.43555278303648,27.84682002602809,33891600
2010-03-03,27.548320770263672,27.899890283810134,27.422287944153936,27.62792284715568,27562500
2010-03-04,27.8070125579834,27.91314862754303,27.63454650579535,27.80038031884751,25450700
2010-03-05,28.397396087646484,28.43719460156901,27.98612622066855,28.07236055154125,34790800
2010-03-08,28.251453399658203,28.543320050370745,28.171853864086348,28.42391948180116,28524900
2010-03-09,28.138690948486328,28.404026163042506,27.89325751979756,28.118791693043068,37107100
2010-03-10,28.476999282836918,28.848468152909884,28.397399714401512,28.437198233406885,40903700
2010-03-11,28.64281845092773,28.656085460575987,28.390750328457653,28.463717616311364,30119600
2010-03-12,28.622936248779297,28.88163676493745,28.423933515957767,28.74896911986472,31367300
2010-03-15,28.569854736328125,28.66272128505743,28.25808629665946,28.470353416733204,29142000
2010-03-16,28.68263435363769,28.775500938909325,28.317797725178213,28.755599148904928,28553800
2010-03-17,29.04747200012207,29.259739229652048,28.702537119529616,28.729071155827107,32918800
2010-03-18,28.94797134399414,29.047472717354104,28.622938247811668,29.020938680401443,26012000
2010-03-19,28.821931838989254,29.11379858710384,28.60966465301057,28.821931838989254,37014400
2010-03-22,29.01429557800293,29.04746184656902,28.549960226805364,28.569859481860203,23257200
2010-03-23,29.571508407592773,29.677642024430465,29.04083779297929,29.08727109219421,33735700
2010-03-24,29.81029891967773,29.83020070700889,29.319432026197635,29.47863114230089,35849200
2010-03-25,29.81029891967773,30.546601790322217,29.77713264802492,29.83683294916972,45019400
2010-03-26,29.86337280273437,30.440474139399843,29.710805899037744,29.87663982006775,39727000
2010-03-29,29.757238388061523,30.102173238107067,29.49190310943425,30.01593889298949,30628400
2010-03-30,29.571508407592773,29.883274483689416,29.42557373553156,29.78377564126816,30296300
2010-03-31,29.68427085876465,29.85010477417674,29.35260302794046,29.392404078592268,39043000
2010-04-01,30.003013610839844,30.089344372011578,29.87683983163034,29.903400999237533,23894600
2010-04-05,30.109281539916992,30.14912711193113,29.74403932951417,30.06943596790285,21342400
2010-04-06,30.44132232666016,30.507729084355653,29.983109618748216,30.03623451825353,28192100
2010-04-07,30.09599876403809,30.5807751424325,29.896775976558285,30.43467978268341,28890100
2010-04-08,30.388181686401367,30.527639870158414,29.757310162721136,29.989736246892345,28869900
2010-04-09,30.534276962280277,30.693656644635112,30.182316769199893,30.467870239030656,22881200
2010-04-12,30.64053726196289,30.85968406592266,30.48116007113285,30.56748832730964,24645900
2010-04-13,30.461238861083984,30.79991985635605,30.44795700506792,30.57413337059301,27988900
2010-04-14,31.696422576904297,31.829238599502883,31.065548369502206,31.47727829288332,72533100
2010-04-15,31.74955177307129,32.00854163831791,31.537047138343038,31.64329945570716,45412100
2010-04-16,30.248727798461918,31.70969871721485,29.976456141173077,31.656571304448995,121203900
2010-04-19,30.142484664916992,30.34834965205464,29.611223042108023,30.0362323403552,72136600
2010-04-20,30.467885971069336,30.64718725633014,30.25538130703922,30.394837017823598,39310700
2010-04-21,30.115907669067383,30.80654874076753,29.883481603232774,30.574122674932923,46320600
2010-04-22,29.71083068847656,29.96317833342136,29.23933370291168,29.823722655964268,63176900
2010-04-23,29.843639373779297,29.92997015067281,29.385426850121863,29.704183718742826,32483800
2010-04-26,29.146364212036133,29.75731689519717,29.040111901910937,29.73739284543596,42889300
2010-04-27,28.163515090942383,29.465105847659807,28.09046619066425,28.87407752105106,66296100
2010-04-28,28.860811233520508,29.02683062975556,28.409238273100765,28.44908384016896,48578900
2010-04-29,29.21940803527832,29.438554811505043,28.95377603983764,29.146359109869408,36520300
2010-04-30,28.276412963867188,29.25260488309157,28.043984386334607,29.23268337451165,54121100
2010-05-03,28.907276153564453,29.04009208389625,28.482267203105238,28.535394588539223,31230900
2010-05-04,28.203369140625,28.79439764544524,28.057271296016182,28.53540785418732,48982200
2010-05-05,28.309616088867188,28.801031873643367,27.63889659533647,27.964295587894103,43062100
2010-05-06,27.101016998291016,28.40924859324743,26.091618398509947,28.30963843927427,78226200
2010-05-07,27.067811965942383,27.78501725764177,26.417015978986985,27.24711328886723,72976300
2010-05-10,27.858049392700195,28.754552932346375,27.50608662337429,28.10375733864136,66578300
2010-05-11,27.59242248535156,28.256500054352827,27.326792977703988,27.53265540281125,50771200
2010-05-12,27.685392379760746,27.75180165527069,27.10100595480222,27.71859828414313,47700000
2010-05-13,27.101016998291016,27.625636555697078,27.08109294089169,27.51938420483885,35320800
2010-05-14,26.490053176879883,26.62950885499204,26.038480238298305,26.62950885499204,60719400
2010-05-17,26.45685195922852,26.58966798725451,25.746289122532712,26.51661904517746,56506200
2010-05-18,25.912315368652344,26.974838807002005,25.60019800033776,26.974838807002005,61735000
2010-05-19,26.15137481689453,26.33731572159385,25.580267714455385,25.59354956954174,64600500
2010-05-20,25.122047424316406,26.065036047526103,24.77672689753067,25.60018139480476,76564100
2010-05-21,26.596303939819336,26.669352871709663,24.584149882226,24.584149882226,89588800
2010-05-24,25.646669387817383,26.72911629749938,25.566980806303757,26.66934922805057,49141600
2010-05-25,25.85916328430176,25.90564848209705,24.803280515481283,25.01578500061782,66813700
2010-05-26,25.7529296875,26.231066391866804,25.547067243429385,26.02520141454107,50719600
2010-05-27,26.84201431274414,26.888502073497225,26.1646574168407,26.28419158276599,44843000
2010-05-28,26.28418731689453,26.795524736385453,26.1380894637517,26.782245416331097,41252400
2010-06-01,25.59354591369629,26.53653469083522,25.566982207318,26.111525521800523,37848600
2010-06-02,26.264270782470703,26.31075601572024,25.679881736005587,26.0119205639338,39618500
2010-06-03,25.96543502807617,26.523260353824732,25.64667806097059,26.470135459268064,30950400
2010-06-04,24.98259735107422,25.699802339105045,24.90290875237797,25.5603466580729,52868900
2010-06-07,24.384923934936523,25.321273005862786,24.345078377337025,25.09548657930765,44528300
