Date,Close,High,Low,Open,Volume
2010-01-04,6.412384510040283,6.427066322741706,6.363544880017381,6.395005964384629,493729600
2010-01-05,6.423468112945557,6.459723372491305,6.389609548203108,6.43006012378995,601904800
2010-01-06,6.321294784545898,6.448937293969856,6.314702773243294,6.423468559440848,552160000
2010-01-07,6.309608459472656,6.352156495427593,6.263765218010224,6.344665573595873,477131200
2010-01-08,6.351556301116943,6.352155974863567,6.264065141637038,6.301218510680699,447610800
2010-01-11,6.295528888702393,6.382121574520934,6.24578995075598,6.376128834997422,462229600
2010-01-12,6.223915100097656,6.285339866777769,6.184963501800485,6.26796052588379,594459600
2010-01-13,6.311707496643066,6.320097331193554,6.115450496192601,6.228411225379968,605892000
2010-01-14,6.275152206420898,6.306014408190058,6.262867493124975,6.295527516359286,432894000
2010-01-15,6.170281887054443,6.340172420550783,6.16848406553127,6.320096746875335,594067600
2010-01-19,6.443243980407715,6.447738533699135,6.209533209992575,6.242192430429153,730007600
2010-01-20,6.344067573547363,6.458525674504352,6.277249741754556,6.439349312023581,612152800
2010-01-21,6.234403133392334,6.391409703168886,6.208635154417112,6.354555556501909,608154400
2010-01-22,5.925184726715088,6.217323935224247,5.90750694778653,6.195750876171056,881767600
2010-01-25,6.084587097167969,6.13342630995329,5.998293673249132,6.0678078314073405,1065699600
2010-01-26,6.170580863952637,6.403393525660621,6.06990526971917,6.170880500841116,1867110000
2010-01-27,6.2287116050720215,6.309611195641393,5.978519908036721,6.197849393791141,1722568400
2010-01-28,5.971327781677246,6.157398321587291,5.953650002252873,6.140319816045054,1173502400
2010-01-29,5.754695892333984,6.058520971828791,5.700462802205497,6.0249624320878645,1245952400
2010-02-01,5.834696769714356,5.872749862649446,5.731923695123911,5.763984048998566,749876400
2010-02-02,5.868555545806885,5.882338847056262,5.79424757410061,5.870054130774673,698342400
2010-02-03,5.969529628753662,5.998594010375022,5.825407468492516,5.847879837776201,615328000
2010-02-04,5.754396915435791,5.943762683923782,5.7400143405689255,5.894623019894059,757652000
2010-02-05,5.856569766998291,5.87275016328978,5.718440324978769,5.7717749052482965,850306800
2010-02-08,5.816417217254639,5.929078270650347,5.812821575115569,5.863459401809087,478270800
2010-02-09,5.878442764282227,5.9176940036414685,5.835295844617221,5.885334013917376,632886800
2010-02-10,5.846381187438965,5.89072704867422,5.820613214088383,5.869452428684406,370361600
2010-02-11,5.952749729156494,5.985110113511673,5.814620322046428,5.839190147193132,550345600
2010-02-12,6.003986835479736,6.041740283839114,5.857767232322593,5.935970461024799,655468800
2010-02-16,6.094475746154785,6.103164816800475,6.038145205245533,6.05072955585794,543737600
2010-02-17,6.069007873535156,6.121742375393937,6.018369630132908,6.118146732071931,436396800
2010-02-18,6.080392360687256,6.109157102877768,6.020166544270516,6.04143996395349,422825200
2010-02-19,6.042638301849365,6.08848194256952,6.025859037285244,6.0483318023924015,415469600
2010-02-22,6.005184650421143,6.0675079204665545,5.968330514829647,6.062714130500933,390563600
2010-02-23,5.904510021209717,6.032452187705773,5.864060236524932,5.992601276821062,575094800
2010-02-24,6.012375354766846,6.035746227178588,5.9278789696856,5.93956480594064,460566400
2010-02-25,6.052526950836182,6.07829492408606,5.899416095686119,5.914097903707459,665126000
2010-02-26,6.131031513214111,6.147511147187801,6.052528624114749,6.0639144293904,507460800
2010-03-01,6.26196813583374,6.277248816123048,6.1558986839766,6.164887390037821,550093600
2010-03-02,6.257775783538818,6.31710230797769,6.224516477352633,6.290135378646883,566546400
2010-03-03,6.272153377532959,6.2883337654058025,6.230505460797605,6.260468341945314,372052800
2010-03-04,6.313504695892334,6.319797071184843,6.251181416952504,6.270658216716701,366041200
2010-03-05,6.560400485992432,6.582872855426392,6.430960134113949,6.440248878833697,899620400
2010-03-08,6.564295768737793,6.594557898173138,6.539426303882049,6.592161202809905,429889600
2010-03-09,6.682348251342773,6.741674747813858,6.528638146782419,6.541222494511255,920259200
2010-03-10,6.736883163452148,6.756059929387045,6.687744300941398,6.706621029859207,596218000
2010-03-11,6.756657123565674,6.756657123565674,6.69133827721759,6.709016854965639,405700400
2010-03-12,6.789619445800781,6.823477227874164,6.764150699931275,6.812690295484974,416323600
2010-03-15,6.706920623779297,6.75665835985692,6.599352953300424,6.753063516365912,493502800
2010-03-16,6.7251973152160645,6.741077673496564,6.667069347187216,6.717107517625671,446908000
2010-03-17,6.715309143066406,6.785122546333446,6.689840804544186,6.73868002311397,450956800
2010-03-18,6.731188774108887,6.741675665301898,6.670064048158868,6.714708344964639,342109600
2010-03-19,6.659278869628906,6.748868318436865,6.628716300435522,6.7353850555850014,559445600
2010-03-22,6.734186172485352,6.77164038974122,6.596356381196804,6.605944763226932,456419600
2010-03-23,6.842351913452148,6.854936664143012,6.714708985312008,6.76085227107992,602431200
2010-03-24,6.87261438369751,6.897483846448694,6.816882720170938,6.820778399935938,597780400
