Date,Close,High,Low,Open,Volume
2010-01-04,38.14618682861328,38.26477106870551,37.840369577572346,38.13994668057919,9190800
2010-01-05,38.158668518066406,38.246044873245616,37.8216433930948,38.1524283701938,8649400
2010-01-06,37.9776725769043,38.04632610636934,37.75923169299466,38.03384343002779,9908400
2010-01-07,37.77172470092773,37.88406643790322,37.59697194600041,37.80917274019547,8972800
2010-01-08,37.7217903137207,37.77796117674622,37.48462656390407,37.67186198037996,8464600
2010-01-11,37.571998596191406,37.61568677563224,36.82929478404287,37.49710491441101,14774600
2010-01-12,38.00263595581055,38.29597288253424,37.7592297318598,37.88405410796522,13460700
2010-01-13,38.39583587646485,38.564348444503295,38.01512256135878,38.09625877133889,16968100
2010-01-14,38.43328475952149,38.533143796777445,38.30846036774472,38.33342334143827,9139500
2010-01-15,37.95895385742188,38.608038812408125,37.72178774294087,38.4457663832479,15768300
2010-01-19,38.52067184448242,38.5893253981156,37.94648043477323,37.94648043477323,11577700
2010-01-20,37.99892807006836,38.369802728076,37.7789162978713,38.325800853221054,11557800
2010-01-21,37.615478515625,38.300653602809966,37.37032454461865,38.06807193774268,14298400
2010-01-22,37.91091537475586,38.14978195391246,37.2257404020766,37.55889806105729,17703200
2010-01-25,38.112064361572266,38.33207366616009,37.81033628759971,38.23778499187456,11630800
2010-01-26,38.14979553222656,38.31323314236962,37.716061686088686,37.82292270986308,13079000
2010-01-27,38.22522735595703,38.3320883740672,37.68463011677675,38.005215569029765,15228400
2010-01-28,38.77208709716797,39.7967067967262,38.70922799326031,38.76579974802453,26930000
2010-01-29,38.69038391113281,39.12412005554453,38.64009708735762,38.91668061292639,17067100
2010-02-01,38.96697998046875,39.12413024230688,38.66524936756757,38.87897381958433,12908100
2010-02-02,39.53900146484375,39.62700521584699,38.75953521695924,38.92925776443221,17680700
2010-02-03,39.38185119628906,39.51385682269983,39.19955634195665,39.43842537873973,11083500
2010-02-04,38.59609222412109,39.18697614570724,38.53951805306015,39.09897241248397,14306600
2010-02-05,38.53323745727539,38.621241205926914,37.98635530642499,38.40123183429811,14844400
2010-02-08,38.35094451904297,38.665245007275466,38.22522624208791,38.38237648620416,11431800
2010-02-09,38.82238006591797,38.97324529634411,38.35092951797832,38.58351351479869,11427100
2010-02-10,38.76581573486328,38.878964086895785,38.48294725270413,38.80982000325112,9854600
2010-02-11,38.94810485839844,39.073825497549926,38.51437117114364,38.60865985206594,10383400
2010-02-12,38.82238006591797,39.054964062738335,38.52693935312907,38.82238006591797,16188300
2010-02-16,39.4949951171875,39.520137330396935,39.193264579453285,39.35041480214223,13273100
2010-02-17,39.50756454467773,39.58299837715556,39.29384014850138,39.476134980106345,14384400
2010-02-18,39.84700775146485,39.91615422907248,39.19326228780238,39.432131283740965,17709000
2010-02-19,39.88473510742188,40.06702997830664,39.61443647760588,39.77158673224669,10897800
2010-02-22,39.86586380004883,40.15502200653574,39.79043237127575,40.03558631322966,9675300
2010-02-23,39.733863830566406,40.11731077787423,39.55156898710494,39.74643613679708,11948500
2010-02-24,40.16130828857422,40.20531015664118,39.68357269330922,39.74014686624131,12808800
2010-02-25,40.0418815612793,40.14245761878581,39.60814536497053,39.74643834326288,10085600
2010-02-26,39.77788162231445,40.15504376640639,39.689877841403295,40.07332494216465,10640900
2010-03-01,39.92243194580078,40.104726735917865,39.6961376936351,39.89100238838234,7748600
2010-03-02,40.04816436767578,40.14874041978759,39.81558269677764,40.054451719764025,8004000
2010-03-03,39.94758605957031,40.16759780971152,39.87215462422692,40.01673254110264,8608300
2010-03-04,40.02302169799805,40.32475226690256,39.859586504603584,40.01045178905584,8600300
2010-03-05,40.03558349609375,40.09215766317314,39.63327937371662,40.03558349609375,10101100
2010-03-08,39.72129440307617,40.02302258071301,39.6207183438639,39.9475911357844,11293300
2010-03-09,39.79043197631836,39.91615262164019,39.63328176914655,39.65214142459404,7100900
2010-03-10,39.60814666748047,39.7841565723467,39.51385795929876,39.74643965032056,9813200
2010-03-11,39.70871353149414,39.7150008826702,39.29383707698442,39.45098728547935,10047900
2010-03-12,39.8029899597168,39.94756781054581,39.6395548581469,39.80927730857775,8099000
2010-03-15,40.0418815612793,40.0418815612793,39.72129372940566,39.72129372940566,7674900
2010-03-16,39.93501281738281,40.1675968676132,39.86586633747227,40.05444851829086,8939300
2010-03-17,40.23674011230469,40.249310018621344,39.834433570438094,40.092159812522816,10135400
